rowid,autonumber,createdat,createdby,updatedat,updatedby,name,title,group_type,created_at_
rown4qgurl2j,97,2026-06-18T05:17:39.125Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row1f71zmxqb,98,2026-06-18T05:17:42.270Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,19f81af3-c735-4f27-aa0d-92efb7ad08ab,Information technology,2,
rowfhifbpqoo,99,2026-06-18T05:17:45.206Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowfij1mygjl,100,2026-06-18T05:17:48.214Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowpc5deycg2,101,2026-06-18T05:17:51.327Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
rowo0h6dx2s8,102,2026-06-18T05:17:54.266Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
row5j19o5scn,103,2026-06-18T05:17:57.383Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,d9c87eb7-8d0c-4794-bd02-965b2a19f274,Client communication,2,
rowlavmrglxy,104,2026-06-18T05:18:00.533Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
rowivyx7glw5,105,2026-06-18T05:18:03.565Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
roweqy3bv0fz,106,2026-06-18T05:18:06.387Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
rowlw7mxw72x,107,2026-06-18T05:18:09.477Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,224f475d-091b-4f22-b1bc-d3b938fb06d4,MMC convert,2,
row1w7a2wvxi,108,2026-06-18T05:18:12.440Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row8lmrtwa4n,109,2026-06-18T05:18:15.475Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,15057f50-716c-43ad-899c-1093d2acb649,Indore,3,
row48mn1dtpi,110,2026-06-18T05:18:18.508Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowsvswmvhyh,111,2026-06-18T05:18:21.555Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowcgn4u7bqv,112,2026-06-18T05:18:24.705Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowy7v9bnvrb,113,2026-06-18T05:18:27.672Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
rowtl1fjbbnu,114,2026-06-18T05:18:30.626Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,3032185b-d360-430a-be31-10bc54a513e1,Coordinator,2,
row5ptgovwqs,115,2026-06-18T05:18:33.656Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row3jjn61tyc,116,2026-06-18T05:18:36.753Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,2c07cc0d-fbec-4762-9c10-9b0763a23c3a,Conversion,2,
row8brue0reg,117,2026-06-18T05:18:39.788Z,"{""id"": ""SocketKey_21295_id4cvu""}",,,16133bbb-a2f8-4124-aea3-15f1f04673fd,Email Team,2,
